subject_id,compound,region,value,unit
37,DA,VL,5.33758,ng/mg
39,DA,VL,6.85162,ng/mg
46,DA,VL,9.63716,ng/mg
53,DA,VL,6.99088,ng/mg
55,DA,VL,8.17272,ng/mg
23,DA,VL,7.58452,ng/mg
24,DA,VL,5.89885,ng/mg
31,DA,VL,6.78746,ng/mg
36,DA,VL,4.69798,ng/mg
38,DA,VL,6.44434,ng/mg
40,DA,VL,4.70789,ng/mg
44,DA,VL,6.40459,ng/mg
50,DA,VL,6.5089,ng/mg
51,DA,VL,6.78336,ng/mg
57,DA,VL,6.8997,ng/mg
21,DA,VL,7.77081,ng/mg
25,DA,VL,6.9642,ng/mg
35,DA,VL,7.98064,ng/mg
41,DA,VL,7.22749,ng/mg
45,DA,VL,8.3517,ng/mg
49,DA,VL,4.6774,ng/mg
52,DA,VL,7.17145,ng/mg
